nama_penyakit,apakah_menurun,matched_penyakit,obat_pertolongan_pertama,penyakit_perkembangan
Tuberkulosis,FALSE,Osteoporosis,"Rifampisin, Isoniazid",Gagal Paru
Depresi Mayor,TRUE,"Hepatitis C, Osteoporosis, Tifus","SSRI, Psikoterapi",Bunuh Diri
Hemofilia,FALSE,"Osteoporosis, Pneumonia",Transfusi Faktor VIII,Pendarahan Internal
Depresi Mayor,TRUE,"Hemofilia, Diare Akut","SSRI, Psikoterapi",Bunuh Diri
Alzheimer,FALSE,Anemia,"Donepezil, Memantine",Demensia Berat
Kanker Kolorektal,TRUE,"Gagal Ginjal, Bronkitis, Hemofilia","Operasi, Kemoterapi",Metastasis ke Liver
Kanker Payudara,FALSE,"Pneumonia, Skizofrenia, Artritis Reumatoid","Kemoterapi, Mastektomi",Metastasis ke Tulang
Epilepsi,FALSE,"Depresi Mayor, Migraine, Bipolar","Fenitoin, Valproat",Gangguan Kognitif
Influenza,TRUE,"Campak, Tifus, Gastritis","Oseltamivir, Paracetamol",Pneumonia
Pneumonia,FALSE,Asma,"Azitromisin, Ceftriaxone",Sepsis
Demam Berdarah,FALSE,"Osteoporosis, Skizofrenia, Pneumonia","Rehidrasi, Paracetamol",Syok Dengue
Tifus,FALSE,"Osteoporosis, Tifus, Migraine","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Gastritis,FALSE,"Depresi Mayor, Gastritis","Antasida, Omeprazole",Ulkus Lambung
Depresi Mayor,FALSE,"Diabetes Mellitus, Kanker Prostat","SSRI, Psikoterapi",Bunuh Diri
Serangan Jantung,TRUE,"Kanker Payudara, Pneumonia","Aspirin, Nitrat",Gagal Jantung
Serangan Jantung,FALSE,"Asma, Tifus","Aspirin, Nitrat",Gagal Jantung
Hepatitis B,TRUE,"Serangan Jantung, Kanker Kolorektal, Artritis Reumatoid","Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Rubella,TRUE,Gagal Ginjal,"Vaksinasi, Istirahat",Cacat Janin
Influenza,FALSE,"Campak, COVID-19, Migraine","Oseltamivir, Paracetamol",Pneumonia
Parkinson,FALSE,"Bronkitis, Campak","Levodopa, Pramipexole",Gangguan Gerak Berat
Asma,TRUE,"Malaria, Serangan Jantung, Influenza","Salbutamol, Budesonide",Gagal Napas
Artritis Reumatoid,TRUE,COVID-19,"NSAID, Metotreksat",Deformitas Sendi
Gagal Ginjal,FALSE,"Diabetes Mellitus, Bronkitis, Epilepsi","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Demam Berdarah,TRUE,"Kanker Prostat, Serangan Jantung","Rehidrasi, Paracetamol",Syok Dengue
Bronkitis,FALSE,"Cacar Air, Diabetes Mellitus","Dextromethorphan, Amoksisilin",Pneumonia
Kanker Prostat,FALSE,Hemofilia,"Radioterapi, Hormon Terapi",Metastasis ke Tulang
Serangan Jantung,FALSE,"Influenza, Tuberkulosis","Aspirin, Nitrat",Gagal Jantung
Artritis Reumatoid,FALSE,Pneumonia,"NSAID, Metotreksat",Deformitas Sendi
Hepatitis C,FALSE,"Kanker Payudara, Tifus, Depresi Mayor","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Influenza,TRUE,"Rubella, Bipolar","Oseltamivir, Paracetamol",Pneumonia
Kanker Prostat,FALSE,"Pneumonia, Kanker Prostat","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Artritis Reumatoid,TRUE,"Kanker Payudara, Influenza","NSAID, Metotreksat",Deformitas Sendi
Campak,FALSE,"Serangan Jantung, Hemofilia","Vitamin A, Paracetamol",Ensefalitis
Hepatitis B,TRUE,"Migraine, Serangan Jantung, Bronkitis","Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Influenza,FALSE,Kanker Kolorektal,"Oseltamivir, Paracetamol",Pneumonia
Demam Berdarah,TRUE,Kanker Paru-paru,"Rehidrasi, Paracetamol",Syok Dengue
Pneumonia,TRUE,"Osteoporosis, Kanker Kolorektal","Azitromisin, Ceftriaxone",Sepsis
Gastritis,TRUE,"Bipolar, Migraine","Antasida, Omeprazole",Ulkus Lambung
Campak,TRUE,Tifus,"Vitamin A, Paracetamol",Ensefalitis
Kanker Payudara,TRUE,Rubella,"Kemoterapi, Mastektomi",Metastasis ke Tulang
Demam Berdarah,FALSE,Skizofrenia,"Rehidrasi, Paracetamol",Syok Dengue
Alzheimer,TRUE,"Hipertensi, Skizofrenia","Donepezil, Memantine",Demensia Berat
Malaria,FALSE,"Diabetes Mellitus, Campak, Gagal Ginjal","Klorokuin, Artemisinin",Anemia Berat
Tuberkulosis,FALSE,"Diabetes Mellitus, Depresi Mayor, COVID-19","Rifampisin, Isoniazid",Gagal Paru
Kanker Kolorektal,TRUE,Demam Berdarah,"Operasi, Kemoterapi",Metastasis ke Liver
Tuberkulosis,TRUE,"Hemofilia, Hipertensi, Hepatitis B","Rifampisin, Isoniazid",Gagal Paru
COVID-19,TRUE,"Stroke, Gagal Ginjal, COVID-19","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Tifus,TRUE,Pneumonia,"Ciprofloxacin, Ceftriaxone",Perforasi Usus
Kanker Kolorektal,TRUE,"Hemofilia, Bronkitis, Hepatitis C","Operasi, Kemoterapi",Metastasis ke Liver
Diare Akut,FALSE,"Influenza, Bipolar, Parkinson","Oralit, Loperamide",Dehidrasi Parah
Stroke,TRUE,Tuberkulosis,"Antikoagulan, Rehabilitasi",Kelumpuhan
Hipertensi,FALSE,"Diabetes Mellitus, Bronkitis","Amlodipine, Captopril","Stroke, Serangan Jantung"
Cacar Air,FALSE,"Kanker Kolorektal, Rubella, Stroke","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Hipertensi,FALSE,"Diare Akut, Demam Berdarah, Epilepsi","Amlodipine, Captopril","Stroke, Serangan Jantung"
Malaria,TRUE,"Stroke, Kanker Kolorektal","Klorokuin, Artemisinin",Anemia Berat
Tifus,TRUE,"Hemofilia, Bronkitis","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Asma,TRUE,Hipertensi,"Salbutamol, Budesonide",Gagal Napas
Migraine,TRUE,"Asma, Bronkitis, Kanker Prostat","Sumatriptan, Parasetamol",Gangguan Tidur
Anemia,FALSE,"Parkinson, Influenza","Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Anemia,TRUE,"Malaria, Kanker Payudara, Depresi Mayor","Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Kanker Prostat,TRUE,"Hepatitis B, Asma","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Tuberkulosis,FALSE,Malaria,"Rifampisin, Isoniazid",Gagal Paru
Skizofrenia,FALSE,"Anemia, COVID-19","Risperidone, Olanzapine",Disabilitas Sosial
COVID-19,FALSE,"Influenza, Parkinson, Hipertensi","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Asma,TRUE,"Hepatitis C, Kanker Paru-paru, Serangan Jantung","Salbutamol, Budesonide",Gagal Napas
Bronkitis,FALSE,"Gagal Ginjal, Kanker Payudara","Dextromethorphan, Amoksisilin",Pneumonia
Alzheimer,FALSE,"Asma, Alzheimer, Hepatitis B","Donepezil, Memantine",Demensia Berat
Stroke,TRUE,"Influenza, Hipertensi, Diare Akut","Antikoagulan, Rehabilitasi",Kelumpuhan
Kanker Payudara,TRUE,Hepatitis C,"Kemoterapi, Mastektomi",Metastasis ke Tulang
Pneumonia,FALSE,"Asma, Tuberkulosis, Malaria","Azitromisin, Ceftriaxone",Sepsis
Depresi Mayor,FALSE,"Diabetes Mellitus, COVID-19, Serangan Jantung","SSRI, Psikoterapi",Bunuh Diri
Alzheimer,FALSE,"Parkinson, Alzheimer, Migraine","Donepezil, Memantine",Demensia Berat
Skizofrenia,TRUE,"Parkinson, Skizofrenia","Risperidone, Olanzapine",Disabilitas Sosial
Tuberkulosis,FALSE,Kanker Payudara,"Rifampisin, Isoniazid",Gagal Paru
Hepatitis B,FALSE,Tuberkulosis,"Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Stroke,FALSE,"Hepatitis B, Hipertensi","Antikoagulan, Rehabilitasi",Kelumpuhan
Bipolar,FALSE,"Gagal Ginjal, Gastritis, Demam Berdarah","Lithium, Antidepresan",Depresi Kronis
Tuberkulosis,FALSE,"Malaria, Tifus, Campak","Rifampisin, Isoniazid",Gagal Paru
Kanker Kolorektal,FALSE,"Epilepsi, Malaria, Demam Berdarah","Operasi, Kemoterapi",Metastasis ke Liver
Diabetes Mellitus,TRUE,Diabetes Mellitus,"Insulin, Metformin","Gagal Ginjal, Neuropati"
Parkinson,FALSE,"Pneumonia, Hemofilia, Bronkitis","Levodopa, Pramipexole",Gangguan Gerak Berat
Hepatitis C,FALSE,"Artritis Reumatoid, Kanker Payudara, Osteoporosis","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Tifus,FALSE,"Depresi Mayor, COVID-19","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Gastritis,TRUE,"Asma, Hepatitis B, COVID-19","Antasida, Omeprazole",Ulkus Lambung
Bipolar,FALSE,"Campak, Anemia","Lithium, Antidepresan",Depresi Kronis
Gagal Ginjal,FALSE,Depresi Mayor,"Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Malaria,TRUE,Gastritis,"Klorokuin, Artemisinin",Anemia Berat
Anemia,FALSE,Skizofrenia,"Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Hemofilia,FALSE,COVID-19,Transfusi Faktor VIII,Pendarahan Internal
Tifus,TRUE,"Hepatitis B, Bipolar, Kanker Paru-paru","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Hepatitis B,FALSE,Hepatitis B,"Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Malaria,FALSE,"Gagal Ginjal, Tuberkulosis","Klorokuin, Artemisinin",Anemia Berat
Anemia,FALSE,"Hemofilia, Stroke, Parkinson","Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Parkinson,FALSE,"Demam Berdarah, Campak, Kanker Payudara","Levodopa, Pramipexole",Gangguan Gerak Berat
Pneumonia,TRUE,"Hemofilia, Pneumonia","Azitromisin, Ceftriaxone",Sepsis
Migraine,FALSE,"Diare Akut, Gagal Ginjal, Artritis Reumatoid","Sumatriptan, Parasetamol",Gangguan Tidur
Stroke,FALSE,"Hemofilia, Demam Berdarah, Stroke","Antikoagulan, Rehabilitasi",Kelumpuhan
Pneumonia,FALSE,"Rubella, Tifus","Azitromisin, Ceftriaxone",Sepsis
Hepatitis C,FALSE,Diare Akut,"Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Tifus,TRUE,"Epilepsi, Diabetes Mellitus, Hemofilia","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Alzheimer,FALSE,Diabetes Mellitus,"Donepezil, Memantine",Demensia Berat
Osteoporosis,FALSE,"Kanker Paru-paru, Diare Akut, Pneumonia","Kalsium, Vitamin D",Fraktur Tulang
Stroke,TRUE,"Kanker Payudara, Pneumonia","Antikoagulan, Rehabilitasi",Kelumpuhan
Epilepsi,FALSE,"Hepatitis B, Alzheimer","Fenitoin, Valproat",Gangguan Kognitif
Cacar Air,FALSE,Gagal Ginjal,"Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Osteoporosis,TRUE,"Kanker Prostat, Gastritis","Kalsium, Vitamin D",Fraktur Tulang
Bipolar,TRUE,Gagal Ginjal,"Lithium, Antidepresan",Depresi Kronis
Hepatitis C,TRUE,"Tifus, Kanker Paru-paru","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Skizofrenia,FALSE,"Anemia, Hemofilia","Risperidone, Olanzapine",Disabilitas Sosial
Hemofilia,TRUE,"Kanker Payudara, Diare Akut",Transfusi Faktor VIII,Pendarahan Internal
Osteoporosis,TRUE,Asma,"Kalsium, Vitamin D",Fraktur Tulang
COVID-19,TRUE,"Kanker Kolorektal, Bipolar, Epilepsi","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Alzheimer,TRUE,Depresi Mayor,"Donepezil, Memantine",Demensia Berat
Rubella,TRUE,"Hepatitis B, Diabetes Mellitus","Vaksinasi, Istirahat",Cacat Janin
Asma,FALSE,Tuberkulosis,"Salbutamol, Budesonide",Gagal Napas
Bipolar,TRUE,"Hepatitis B, Osteoporosis","Lithium, Antidepresan",Depresi Kronis
Migraine,FALSE,"Kanker Payudara, Rubella","Sumatriptan, Parasetamol",Gangguan Tidur
Alzheimer,FALSE,Depresi Mayor,"Donepezil, Memantine",Demensia Berat
Anemia,TRUE,Migraine,"Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Skizofrenia,FALSE,"Bipolar, Kanker Kolorektal","Risperidone, Olanzapine",Disabilitas Sosial
Gastritis,FALSE,"Bronkitis, Alzheimer, Hepatitis B","Antasida, Omeprazole",Ulkus Lambung
COVID-19,FALSE,Bronkitis,"Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Rubella,FALSE,Tifus,"Vaksinasi, Istirahat",Cacat Janin
Diabetes Mellitus,FALSE,"Rubella, Hepatitis B","Insulin, Metformin","Gagal Ginjal, Neuropati"
Stroke,FALSE,Rubella,"Antikoagulan, Rehabilitasi",Kelumpuhan
Stroke,TRUE,"Serangan Jantung, Depresi Mayor, Asma","Antikoagulan, Rehabilitasi",Kelumpuhan
Parkinson,TRUE,Cacar Air,"Levodopa, Pramipexole",Gangguan Gerak Berat
Kanker Payudara,TRUE,Kanker Kolorektal,"Kemoterapi, Mastektomi",Metastasis ke Tulang
Epilepsi,FALSE,"Kanker Payudara, Kanker Kolorektal","Fenitoin, Valproat",Gangguan Kognitif
Influenza,FALSE,"Diabetes Mellitus, Bipolar","Oseltamivir, Paracetamol",Pneumonia
Asma,TRUE,"Campak, Osteoporosis, Parkinson","Salbutamol, Budesonide",Gagal Napas
Pneumonia,TRUE,"Rubella, Anemia, Migraine","Azitromisin, Ceftriaxone",Sepsis
Asma,TRUE,"Tuberkulosis, COVID-19, Asma","Salbutamol, Budesonide",Gagal Napas
Campak,TRUE,"Campak, Tifus","Vitamin A, Paracetamol",Ensefalitis
Diabetes Mellitus,FALSE,"Tifus, Anemia","Insulin, Metformin","Gagal Ginjal, Neuropati"
Diare Akut,FALSE,Tuberkulosis,"Oralit, Loperamide",Dehidrasi Parah
COVID-19,TRUE,"Stroke, Rubella, Diare Akut","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Skizofrenia,TRUE,"COVID-19, Asma, Parkinson","Risperidone, Olanzapine",Disabilitas Sosial
Asma,TRUE,"Epilepsi, Gagal Ginjal, Serangan Jantung","Salbutamol, Budesonide",Gagal Napas
Kanker Payudara,TRUE,"Migraine, Artritis Reumatoid","Kemoterapi, Mastektomi",Metastasis ke Tulang
Kanker Payudara,FALSE,"Skizofrenia, Kanker Paru-paru, Gastritis","Kemoterapi, Mastektomi",Metastasis ke Tulang
Cacar Air,FALSE,"Tifus, Hipertensi","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Kanker Paru-paru,TRUE,"Serangan Jantung, Kanker Paru-paru, Gagal Ginjal","Kemoterapi, Radioterapi",Metastasis ke Otak
Kanker Prostat,FALSE,"Tuberkulosis, Anemia","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Bipolar,TRUE,"Skizofrenia, Asma","Lithium, Antidepresan",Depresi Kronis
Campak,TRUE,"Kanker Prostat, Depresi Mayor, Bronkitis","Vitamin A, Paracetamol",Ensefalitis
Bronkitis,TRUE,"Tifus, Rubella, Hepatitis C","Dextromethorphan, Amoksisilin",Pneumonia
Hemofilia,FALSE,Rubella,Transfusi Faktor VIII,Pendarahan Internal
COVID-19,TRUE,Malaria,"Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Alzheimer,TRUE,"Cacar Air, Bronkitis, Osteoporosis","Donepezil, Memantine",Demensia Berat
Malaria,FALSE,"Hemofilia, Influenza","Klorokuin, Artemisinin",Anemia Berat
Diare Akut,TRUE,"Gagal Ginjal, Skizofrenia","Oralit, Loperamide",Dehidrasi Parah
Alzheimer,FALSE,"Bipolar, Hepatitis C","Donepezil, Memantine",Demensia Berat
Malaria,TRUE,"Parkinson, Stroke","Klorokuin, Artemisinin",Anemia Berat
Cacar Air,FALSE,Depresi Mayor,"Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Migraine,TRUE,"Diare Akut, Gagal Ginjal, Pneumonia","Sumatriptan, Parasetamol",Gangguan Tidur
Kanker Prostat,FALSE,"Kanker Kolorektal, Bronkitis, Tifus","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Cacar Air,FALSE,Tuberkulosis,"Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Kanker Prostat,FALSE,"Diabetes Mellitus, Kanker Payudara","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Gagal Ginjal,TRUE,"Depresi Mayor, Campak, Hipertensi","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Stroke,TRUE,Campak,"Antikoagulan, Rehabilitasi",Kelumpuhan
Parkinson,TRUE,"Osteoporosis, Bronkitis, Kanker Prostat","Levodopa, Pramipexole",Gangguan Gerak Berat
Malaria,TRUE,"Demam Berdarah, Parkinson","Klorokuin, Artemisinin",Anemia Berat
Asma,FALSE,Kanker Payudara,"Salbutamol, Budesonide",Gagal Napas
Influenza,FALSE,"Hipertensi, Bipolar, Influenza","Oseltamivir, Paracetamol",Pneumonia
Osteoporosis,TRUE,"Skizofrenia, Kanker Kolorektal, Hipertensi","Kalsium, Vitamin D",Fraktur Tulang
Depresi Mayor,FALSE,Tuberkulosis,"SSRI, Psikoterapi",Bunuh Diri
Kanker Kolorektal,TRUE,Demam Berdarah,"Operasi, Kemoterapi",Metastasis ke Liver
Hepatitis C,FALSE,"Epilepsi, Kanker Payudara, Asma","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Influenza,FALSE,Diabetes Mellitus,"Oseltamivir, Paracetamol",Pneumonia
Depresi Mayor,FALSE,Gastritis,"SSRI, Psikoterapi",Bunuh Diri
Kanker Payudara,FALSE,"Kanker Payudara, Diabetes Mellitus","Kemoterapi, Mastektomi",Metastasis ke Tulang
Stroke,TRUE,Gagal Ginjal,"Antikoagulan, Rehabilitasi",Kelumpuhan
Cacar Air,FALSE,Anemia,"Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Tifus,FALSE,"Parkinson, Epilepsi","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Migraine,TRUE,"Asma, Stroke, Hepatitis C","Sumatriptan, Parasetamol",Gangguan Tidur
Gastritis,TRUE,"Bipolar, Gastritis","Antasida, Omeprazole",Ulkus Lambung
Epilepsi,FALSE,"Stroke, Kanker Kolorektal","Fenitoin, Valproat",Gangguan Kognitif
Demam Berdarah,TRUE,Hipertensi,"Rehidrasi, Paracetamol",Syok Dengue
Hepatitis C,FALSE,Bronkitis,"Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Kanker Prostat,TRUE,"Demam Berdarah, Kanker Paru-paru, Kanker Prostat","Radioterapi, Hormon Terapi",Metastasis ke Tulang
Osteoporosis,FALSE,"Kanker Kolorektal, Demam Berdarah","Kalsium, Vitamin D",Fraktur Tulang
Artritis Reumatoid,FALSE,Stroke,"NSAID, Metotreksat",Deformitas Sendi
Cacar Air,TRUE,"Demam Berdarah, Epilepsi, Asma","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Tuberkulosis,FALSE,Malaria,"Rifampisin, Isoniazid",Gagal Paru
Malaria,FALSE,"Diare Akut, Skizofrenia","Klorokuin, Artemisinin",Anemia Berat
Diare Akut,FALSE,Osteoporosis,"Oralit, Loperamide",Dehidrasi Parah
Cacar Air,FALSE,Parkinson,"Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Bronkitis,FALSE,"Artritis Reumatoid, Kanker Payudara, Gagal Ginjal","Dextromethorphan, Amoksisilin",Pneumonia
Hepatitis B,TRUE,Gagal Ginjal,"Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Bipolar,FALSE,"Kanker Paru-paru, Influenza, Hepatitis B","Lithium, Antidepresan",Depresi Kronis
Kanker Payudara,FALSE,"Bipolar, Rubella","Kemoterapi, Mastektomi",Metastasis ke Tulang
Hipertensi,TRUE,"Asma, Pneumonia","Amlodipine, Captopril","Stroke, Serangan Jantung"
Parkinson,FALSE,"Bipolar, Asma, Malaria","Levodopa, Pramipexole",Gangguan Gerak Berat
Serangan Jantung,TRUE,"Kanker Prostat, Depresi Mayor","Aspirin, Nitrat",Gagal Jantung
Anemia,FALSE,"Rubella, Kanker Paru-paru","Suplemen Zat Besi, Vitamin B12",Kelelahan Kronis
Pneumonia,TRUE,Pneumonia,"Azitromisin, Ceftriaxone",Sepsis
Kanker Paru-paru,TRUE,"Epilepsi, Pneumonia, Asma","Kemoterapi, Radioterapi",Metastasis ke Otak
Campak,TRUE,Anemia,"Vitamin A, Paracetamol",Ensefalitis
Kanker Paru-paru,FALSE,"Serangan Jantung, Diabetes Mellitus, Hepatitis C","Kemoterapi, Radioterapi",Metastasis ke Otak
Rubella,FALSE,"Serangan Jantung, Depresi Mayor","Vaksinasi, Istirahat",Cacat Janin
Bipolar,TRUE,"Malaria, Epilepsi, Rubella","Lithium, Antidepresan",Depresi Kronis
COVID-19,TRUE,"Artritis Reumatoid, Kanker Prostat","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Kanker Paru-paru,TRUE,"Pneumonia, Diare Akut, Influenza","Kemoterapi, Radioterapi",Metastasis ke Otak
Influenza,TRUE,"Gagal Ginjal, Diare Akut, Depresi Mayor","Oseltamivir, Paracetamol",Pneumonia
Skizofrenia,TRUE,"Kanker Payudara, Hepatitis C, Depresi Mayor","Risperidone, Olanzapine",Disabilitas Sosial
Cacar Air,FALSE,Rubella,"Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Diare Akut,TRUE,Hepatitis C,"Oralit, Loperamide",Dehidrasi Parah
Skizofrenia,TRUE,"Kanker Kolorektal, COVID-19, Malaria","Risperidone, Olanzapine",Disabilitas Sosial
Campak,FALSE,"Migraine, COVID-19, Serangan Jantung","Vitamin A, Paracetamol",Ensefalitis
Influenza,FALSE,Tuberkulosis,"Oseltamivir, Paracetamol",Pneumonia
Bipolar,TRUE,"Asma, Osteoporosis","Lithium, Antidepresan",Depresi Kronis
Rubella,TRUE,Diare Akut,"Vaksinasi, Istirahat",Cacat Janin
Hepatitis B,FALSE,Kanker Prostat,"Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Gastritis,TRUE,Hipertensi,"Antasida, Omeprazole",Ulkus Lambung
Influenza,TRUE,"Anemia, Diabetes Mellitus","Oseltamivir, Paracetamol",Pneumonia
Kanker Kolorektal,TRUE,"Influenza, Tuberkulosis","Operasi, Kemoterapi",Metastasis ke Liver
Stroke,FALSE,"Pneumonia, Tuberkulosis, Asma","Antikoagulan, Rehabilitasi",Kelumpuhan
Parkinson,FALSE,"Malaria, Hemofilia, Bronkitis","Levodopa, Pramipexole",Gangguan Gerak Berat
Hemofilia,FALSE,Hemofilia,Transfusi Faktor VIII,Pendarahan Internal
Tuberkulosis,FALSE,"Gagal Ginjal, Kanker Payudara","Rifampisin, Isoniazid",Gagal Paru
Kanker Payudara,FALSE,"Stroke, Diare Akut, Hipertensi","Kemoterapi, Mastektomi",Metastasis ke Tulang
Hepatitis B,TRUE,Hemofilia,"Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Asma,TRUE,"Kanker Paru-paru, Hepatitis B, Malaria","Salbutamol, Budesonide",Gagal Napas
Tifus,TRUE,"Bipolar, Kanker Payudara, Tifus","Ciprofloxacin, Ceftriaxone",Perforasi Usus
Alzheimer,FALSE,Hepatitis B,"Donepezil, Memantine",Demensia Berat
Kanker Paru-paru,FALSE,"Diabetes Mellitus, Stroke, Asma","Kemoterapi, Radioterapi",Metastasis ke Otak
Influenza,TRUE,"Cacar Air, Osteoporosis","Oseltamivir, Paracetamol",Pneumonia
Demam Berdarah,TRUE,"Pneumonia, Skizofrenia","Rehidrasi, Paracetamol",Syok Dengue
Cacar Air,TRUE,Stroke,"Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Gagal Ginjal,TRUE,"Rubella, Kanker Payudara, Migraine","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Demam Berdarah,FALSE,"Diabetes Mellitus, Kanker Payudara","Rehidrasi, Paracetamol",Syok Dengue
COVID-19,FALSE,"Depresi Mayor, Diare Akut, Serangan Jantung","Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Hipertensi,TRUE,"Migraine, Campak, Pneumonia","Amlodipine, Captopril","Stroke, Serangan Jantung"
Kanker Paru-paru,TRUE,"Artritis Reumatoid, Asma","Kemoterapi, Radioterapi",Metastasis ke Otak
Migraine,FALSE,Serangan Jantung,"Sumatriptan, Parasetamol",Gangguan Tidur
Tuberkulosis,TRUE,Hipertensi,"Rifampisin, Isoniazid",Gagal Paru
Kanker Payudara,TRUE,"Anemia, Hepatitis C, Hipertensi","Kemoterapi, Mastektomi",Metastasis ke Tulang
Tuberkulosis,TRUE,"Diare Akut, Kanker Prostat, Kanker Paru-paru","Rifampisin, Isoniazid",Gagal Paru
Tuberkulosis,TRUE,"COVID-19, Stroke","Rifampisin, Isoniazid",Gagal Paru
Pneumonia,TRUE,Kanker Payudara,"Azitromisin, Ceftriaxone",Sepsis
Migraine,FALSE,"Skizofrenia, Hipertensi","Sumatriptan, Parasetamol",Gangguan Tidur
Hepatitis B,FALSE,"Skizofrenia, Rubella","Lamivudine, Tenofovir","Sirosis, Kanker Hati"
Diare Akut,FALSE,"Parkinson, Gagal Ginjal","Oralit, Loperamide",Dehidrasi Parah
Bipolar,TRUE,Tuberkulosis,"Lithium, Antidepresan",Depresi Kronis
Alzheimer,TRUE,"Demam Berdarah, Diabetes Mellitus","Donepezil, Memantine",Demensia Berat
Cacar Air,FALSE,"Alzheimer, Demam Berdarah","Asiklovir, Paracetamol",Infeksi Kulit Sekunder
Serangan Jantung,FALSE,Malaria,"Aspirin, Nitrat",Gagal Jantung
Hepatitis C,FALSE,"Artritis Reumatoid, Kanker Payudara","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Parkinson,FALSE,Parkinson,"Levodopa, Pramipexole",Gangguan Gerak Berat
Artritis Reumatoid,FALSE,"Bronkitis, Gastritis","NSAID, Metotreksat",Deformitas Sendi
Migraine,TRUE,"Diabetes Mellitus, Hepatitis C","Sumatriptan, Parasetamol",Gangguan Tidur
Depresi Mayor,TRUE,"Tuberkulosis, Alzheimer, Bronkitis","SSRI, Psikoterapi",Bunuh Diri
Kanker Paru-paru,TRUE,"Gastritis, Parkinson","Kemoterapi, Radioterapi",Metastasis ke Otak
Diabetes Mellitus,FALSE,"Anemia, Kanker Paru-paru, Rubella","Insulin, Metformin","Gagal Ginjal, Neuropati"
COVID-19,FALSE,Bronkitis,"Antiviral, Paracetamol","Pneumonia, Gagal Napas"
Serangan Jantung,FALSE,Diabetes Mellitus,"Aspirin, Nitrat",Gagal Jantung
Gagal Ginjal,FALSE,"Diare Akut, Epilepsi, Tuberkulosis","Dialisis, Transplantasi Ginjal",Dialisis Seumur Hidup
Osteoporosis,TRUE,"Hemofilia, Pneumonia","Kalsium, Vitamin D",Fraktur Tulang
Migraine,TRUE,"Tuberkulosis, Serangan Jantung, Gagal Ginjal","Sumatriptan, Parasetamol",Gangguan Tidur
Bronkitis,FALSE,"Parkinson, Diabetes Mellitus, Malaria","Dextromethorphan, Amoksisilin",Pneumonia
Hepatitis C,FALSE,"Kanker Payudara, Tifus, Gastritis","Sofosbuvir, Ribavirin","Sirosis, Kanker Hati"
Skizofrenia,TRUE,Kanker Paru-paru,"Risperidone, Olanzapine",Disabilitas Sosial
Gastritis,TRUE,Bronkitis,"Antasida, Omeprazole",Ulkus Lambung
